Job ID $ Task index within the job, Start time (micro second), Finish time (micro second), Duration (micro second), Priority 
6251532251$262,0,1852419247,1852419247,2
6251532251$260,0,1751388545,1751388545,2
6251532251$261,0,1814657672,1814657672,2
6251951306$321,4367038195,4562647102,195608907,2
6251951306$320,4367038181,4590796179,223757998,2
6251951306$322,4367038209,4579999090,212960881,2
6251951306$325,4367038251,4577668555,210630304,2
6251951306$324,4367038237,4616713909,249675672,2
6251951306$327,4367038279,4570390521,203352242,2
6251951306$326,4367038265,4640274663,273236398,2
6251951306$329,4367038307,4579999136,212960829,2
6251951306$328,4367038293,4561926846,194888553,2
6251938667$160,4207124433,4356415379,149290946,0
6251779174$166,2102275524,2589982699,487707175,2
6251882848$111,3239652664,3482863778,243211114,2
6251779174$164,2102275496,2545811439,443535943,2
6251779174$165,2102275510,2581182164,478906654,2
6251779174$162,2102275468,2546786900,444511432,2
6251779174$163,2102275482,2582004014,479728532,2
6251779174$160,2102275440,2552938825,450663385,2
6251779174$161,2102275454,2546785820,444510366,2
6251882848$118,3239652762,3475153881,235501119,2
6251882848$119,3239652776,3463526421,223873645,2
6251795690$578,2151673477,2632800953,481127476,2
6251795690$579,2151673491,2690204815,538531324,2
6251779174$168,2102275552,2582809511,480533959,2
6251779174$169,2102275567,2548502194,446226627,2
6251938667$166,4207124560,4334416028,127291468,0
6251849958$736,2640767497,2830655163,189887666,2
6251849958$734,2640767469,2831552864,190785395,2
6251849958$733,2640767448,2985968822,345201374,2
6251849958$732,2640767410,2796439168,155671758,2
6250505806$399,0,3327183646,3327183646,2
6250505806$398,0,646637162,646637162,2
6250505806$397,0,1911753384,1911753384,2
6250505806$395,0,2893299286,2893299286,2
6250505806$394,0,3903144404,3903144404,2
6250505806$391,0,2853630890,2853630890,2
6250505806$390,0,3065239139,3065239139,2
6251899333$353,3527455095,3729098103,201643008,2
6251899333$352,3527455081,3735691501,208236420,2
6251899333$351,3527455067,3691077996,163622929,2
6251899333$357,3527455151,3704302347,176847196,2
6251899333$356,3527455137,3767463539,240008402,2
6251899333$355,3527455123,3696459378,169004255,2
6251899333$354,3527455109,3729843708,202388599,2
6251899333$359,3527455179,3700650533,173195354,2
6251899333$358,3527455165,3689608604,162153439,2
6251904229$791,3551560887,4074388784,522827897,2
6251892565$618,3413246431,4027590036,614343605,2
6251892565$614,3413246345,4026812485,613566140,2
6251892565$615,3413246359,3998785880,585539521,2
6251892565$616,3413246373,3996063573,582817200,2
6251892565$617,3413246405,4013922595,600676190,2
6251892565$610,3413246289,4034373708,621127419,2
6251892565$611,3413246303,4083381362,670135059,2
6251892565$612,3413246317,4073175053,659928736,2
6251892565$613,3413246331,4112881626,699635295,2
6251674199$92,763189521,937760482,174570961,2
6251674199$93,763189535,930859697,167670162,2
